bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
त्‍वम॑ग्ने,अ॒ग्ने॒ त्वम्,त्‍वम॑ग्ने,त्‍वम॑ग्ने अ॒ग्ने॒ त्वम् त्‍वम॑ग्ने ।,"त्‍वम॑ग्नेऽ॒ग्ने॒त्वन्त्‍वम॑ग्ने, त्‍वम॑ग्नेऽ॒ग्ने॒त्वं  त्‍वम॑ग्ने"
अ॒ग्ने॒द्युभिः॑,द्युऽभिः॑ अ॒ग्ने॒,अ॒ग्ने॒द्युभिः॑,अ॒ग्ने॒द्युभिः॑ द्युऽभिः॑ अ॒ग्ने॒ अ॒ग्ने॒द्युभिः॑ ।,अ॒ग्ने॒द्युभिः॑द्युऽभिः॑अ॒ग्ने॒अ॒ग्ने॒द्युभिः॑
द्युभि॒स्त्‍वम्,त्वम् द्युऽभिः॑,द्युभि॒स्त्‍वम्,द्युभि॒स्त्‍वम् त्वम् द्युऽभिः॑ द्युभि॒स्त्‍वम् ।,"द्युभि॒स्त्‍वन्त्वन्द्युऽभिः॑द्युभि॒स्त्‍वम्, द्युभि॒स्त्‍वन्त्वं  द्युऽभिः॑द्युभि॒स्त्‍वम्, द्युभि॒स्त्‍वं  त्वन्द्युऽभिः॑द्युभि॒स्त्‍वम्, द्युभि॒स्त्‍वं  त्वं  द्युऽभिः॑द्युभि॒स्त्‍वम्"
द्युभि॒रिति॒द्युbऽभिः॑,,,द्युभि॒रिति॒द्युऽभिः॑ ।,द्युभि॒रिति॒द्युऽभिः॑
त्‍वमा॑शुशु॒क्षणिः॑,आ॒शु॒शु॒क्षणिः॑ त्वम्,त्‍वमा॑शुशु॒क्षणिः॑,त्‍वमा॑शुशु॒क्षणिः॑ आ॒शु॒शु॒क्षणिः॑ त्वम् त्‍वमा॑शुशु॒क्षणिः॑ ।,"त्‍वमा॑शुशु॒क्षणिः॑आ॒शु॒शु॒क्षणिः॑त्वन्त्‍वमा॑शुशु॒क्षणिः॑, त्‍वमा॑शुशु॒क्षणिः॑आ॒शु॒शु॒क्षणिः॑त्वं  त्‍वमा॑शुशु॒क्षणिः॑"
आ॒शु॒शु॒क्षणि॒स्त्‍वम्,त्वम् आ॒शु॒शु॒क्षणिः॑,आ॒शु॒शु॒क्षणि॒स्त्‍वम्,आ॒शु॒शु॒क्षणि॒स्त्‍वम् त्वम् आ॒शु॒शु॒क्षणिः॑ आ॒शु॒शु॒क्षणि॒स्त्‍वम् ।,"आ॒शु॒शु॒क्षणि॒स्त्‍वन्त्वमा॒शु॒शु॒क्षणिः॑आ॒शु॒शु॒क्षणि॒स्त्‍वम्, आ॒शु॒शु॒क्षणि॒स्त्‍वं  त्वमा॒शु॒शु॒क्षणिः॑आ॒शु॒शु॒क्षणि॒स्त्‍वम्"
त्‍वम॒द्भ्यः,अ॒त्ऽभ्यः त्वम्,त्‍वम॒द्भ्यः,त्‍वम॒द्भ्यः अ॒त्ऽभ्यः त्वम् त्‍वम॒द्भ्यः ।,"त्‍वम॒द्भ्योऽ॒त्ऽभ्यस्त्वन्त्‍वम॒द्भ्यः, त्‍वम॒द्भ्योऽ॒त्ऽभ्यस्त्वं  त्‍वम॒द्भ्यः"
अ॒द्भ्यस्त्‍वम्,त्वम् अ॒त्ऽभ्यः,अ॒द्भ्यस्त्‍वम्,अ॒द्भ्यस्त्‍वम् त्वम् अ॒त्ऽभ्यः अ॒द्भ्यस्त्‍वम् ।,"अ॒द्भ्यस्त्‍वन्त्वम॒त्ऽभ्योऽ॒द्भ्यस्त्‍वम्, अ॒द्भ्यस्त्‍वं  त्वम॒त्ऽभ्योऽ॒द्भ्यस्त्‍वम्"
अ॒द्भ्यइत्य॒त्bऽभ्यः,,,अ॒द्भ्यइत्य॒त्ऽभ्यः ।,अ॒द्भ्यइत्य॒त्ऽभ्यः
त्‍वमश्म॑नः,अश्म॑नः त्वम्,त्‍वमश्म॑नः,त्‍वमश्म॑नः अश्म॑नः त्वम् त्‍वमश्म॑नः ।,"त्‍वमश्म॑नोऽश्म॑नस्त्वन्त्‍वमश्म॑नः, त्‍वमश्म॑नोऽश्म॑नस्त्वं  त्‍वमश्म॑नः"
अश्म॑न॒स्परि॑,परि॑ अश्म॑नः,अश्म॑न॒स्परि॑,अश्म॑न॒स्परि॑ परि॑ अश्म॑नः अश्म॑न॒स्परि॑ ।,अश्म॑न॒स्परि॑परि॑अश्म॑नोऽश्म॑न॒स्परि॑
परीति॒परि॑b॥,,,परीति॒परि॑॥ ,परीति॒परि॑
त्‍वंवने॑भ्यः,वने॑भ्यः त्वम्,त्‍वंवने॑भ्यः,त्‍वंवने॑भ्यः वने॑भ्यः त्वम् त्‍वंवने॑भ्यः ।,"त्‍वंवने॑भ्यो वने॑भ्यस्त्वन्त्‍वंवने॑भ्यः, त्‍वंवने॑भ्यो वने॑भ्यस्त्वं  त्‍वंवने॑भ्यः"
वने॑भ्य॒स्त्‍वम्,त्वम् वने॑भ्यः,वने॑भ्य॒स्त्‍वम्,वने॑भ्य॒स्त्‍वम् त्वम् वने॑भ्यः वने॑भ्य॒स्त्‍वम् ।,"वने॑भ्य॒स्त्‍वन्त्वँवने॑भ्यो वने॑भ्य॒स्त्‍वम्, वने॑भ्य॒स्त्‍वन्त्वं  वने॑भ्यो वने॑भ्य॒स्त्‍वम्, वने॑भ्य॒स्त्‍वं  त्वँवने॑भ्यो वने॑भ्य॒स्त्‍वम्, वने॑भ्य॒स्त्‍वं  त्वं  वने॑भ्यो वने॑भ्य॒स्त्‍वम्"
त्‍वमोष॑धीभ्यः,ओष॑धीभ्यः त्वम्,त्‍वमोष॑धीभ्यः,त्‍वमोष॑धीभ्यः ओष॑धीभ्यः त्वम् त्‍वमोष॑धीभ्यः ।,"त्‍वमोष॑धीभ्य  ओष॑धीभ्यस्त्वन्त्‍वमोष॑धीभ्यः, त्‍वमोष॑धीभ्य  ओष॑धीभ्यस्त्वं  त्‍वमोष॑धीभ्यः, त्‍वमोष॑धीभ्ययोष॑धीभ्यस्त्वन्त्‍वमोष॑धीभ्यः, त्‍वमोष॑धीभ्ययोष॑धीभ्यस्त्वं  त्‍वमोष॑धीभ्यः"
ओष॑धीभ्य॒स्त्‍वम्,त्वम् ओष॑धीभ्यः,ओष॑धीभ्य॒स्त्‍वम्,ओष॑धीभ्य॒स्त्‍वम् त्वम् ओष॑धीभ्यः ओष॑धीभ्य॒स्त्‍वम् ।,"ओष॑धीभ्य॒स्त्‍वन्त्वमोष॑धीभ्य  ओष॑धीभ्य॒स्त्‍वम्, ओष॑धीभ्य॒स्त्‍वन्त्वमोष॑धीभ्ययोष॑धीभ्य॒स्त्‍वम्, ओष॑धीभ्य॒स्त्‍वं  त्वमोष॑धीभ्य  ओष॑धीभ्य॒स्त्‍वम्, ओष॑धीभ्य॒स्त्‍वं  त्वमोष॑धीभ्ययोष॑धीभ्य॒स्त्‍वम्"
